Year,Station Code,Region,Garda Station,Value
2020,66103,Finglas, D.M.R. Western Division,353
2020,66103,Finglas, D.M.R. Western Division,99
2020,62202,FitzgibbonStreet, D.M.R. North Central Division,191
2020,62202,FitzgibbonStreet, D.M.R. North Central Division,59
2020,62202,FitzgibbonStreet, D.M.R. North Central Division,2
2020,62202,FitzgibbonStreet, D.M.R. North Central Division,25
2020,62202,FitzgibbonStreet, D.M.R. North Central Division,122
2020,62202,FitzgibbonStreet, D.M.R. North Central Division,539
2020,62202,FitzgibbonStreet, D.M.R. North Central Division,45
2020,62202,FitzgibbonStreet, D.M.R. North Central Division,287
2020,62202,FitzgibbonStreet, D.M.R. North Central Division,42
2020,62202,FitzgibbonStreet, D.M.R. North Central Division,201
2020,62202,FitzgibbonStreet, D.M.R. North Central Division,301
2020,62202,FitzgibbonStreet, D.M.R. North Central Division,39
2020,63102,Garristown, D.M.R. Northern Division,5
2020,63102,Garristown, D.M.R. Northern Division,1
2020,63102,Garristown, D.M.R. Northern Division,0
2020,63102,Garristown, D.M.R. Northern Division,0
2020,63102,Garristown, D.M.R. Northern Division,10
2020,63102,Garristown, D.M.R. Northern Division,24
2020,63102,Garristown, D.M.R. Northern Division,2
2020,63102,Garristown, D.M.R. Northern Division,2
2020,63102,Garristown, D.M.R. Northern Division,1
2020,63102,Garristown, D.M.R. Northern Division,4
2020,63102,Garristown, D.M.R. Northern Division,5
2020,63102,Garristown, D.M.R. Northern Division,1
2020,63402,Howth, D.M.R. Northern Division,79
2020,63402,Howth, D.M.R. Northern Division,19
2020,63402,Howth, D.M.R. Northern Division,0
2020,63402,Howth, D.M.R. Northern Division,22
2020,63402,Howth, D.M.R. Northern Division,63
2020,63402,Howth, D.M.R. Northern Division,282
2020,63402,Howth, D.M.R. Northern Division,29
2020,63402,Howth, D.M.R. Northern Division,80
2020,63402,Howth, D.M.R. Northern Division,5
2020,63402,Howth, D.M.R. Northern Division,117
2020,63402,Howth, D.M.R. Northern Division,71
2020,63402,Howth, D.M.R. Northern Division,18
2020,61102,Irishtown, D.M.R. South Central Division,84
2020,61102,Irishtown, D.M.R. South Central Division,21
2020,61102,Irishtown, D.M.R. South Central Division,0
2020,61102,Irishtown, D.M.R. South Central Division,12
2020,61102,Irishtown, D.M.R. South Central Division,98
2020,61102,Irishtown, D.M.R. South Central Division,576
2020,61102,Irishtown, D.M.R. South Central Division,45
2020,61102,Irishtown, D.M.R. South Central Division,100
2020,61102,Irishtown, D.M.R. South Central Division,21
2020,61102,Irishtown, D.M.R. South Central Division,96
2020,61102,Irishtown, D.M.R. South Central Division,152
2020,61102,Irishtown, D.M.R. South Central Division,18
2020,61301,KevinStreet, D.M.R. South Central Division,263
2020,61301,KevinStreet, D.M.R. South Central Division,56
2020,61301,KevinStreet, D.M.R. South Central Division,3
2020,61301,KevinStreet, D.M.R. South Central Division,49
2020,61301,KevinStreet, D.M.R. South Central Division,128
2020,61301,KevinStreet, D.M.R. South Central Division,762
2020,61301,KevinStreet, D.M.R. South Central Division,105
2020,61301,KevinStreet, D.M.R. South Central Division,490
2020,61301,KevinStreet, D.M.R. South Central Division,71
2020,61301,KevinStreet, D.M.R. South Central Division,265
2020,61301,KevinStreet, D.M.R. South Central Division,538
2020,61301,KevinStreet, D.M.R. South Central Division,44
2020,61302,Kilmainham, D.M.R. South Central Division,250
2020,61302,Kilmainham, D.M.R. South Central Division,60
2020,61302,Kilmainham, D.M.R. South Central Division,1
2020,61302,Kilmainham, D.M.R. South Central Division,77
2020,61302,Kilmainham, D.M.R. South Central Division,126
2020,61302,Kilmainham, D.M.R. South Central Division,667
2020,61302,Kilmainham, D.M.R. South Central Division,78
2020,61302,Kilmainham, D.M.R. South Central Division,180
2020,61302,Kilmainham, D.M.R. South Central Division,32
2020,61302,Kilmainham, D.M.R. South Central Division,286
2020,61302,Kilmainham, D.M.R. South Central Division,316
2020,61302,Kilmainham, D.M.R. South Central Division,68
2020,66301,Lucan, D.M.R. Western Division,128
2020,66301,Lucan, D.M.R. Western Division,38
2020,66301,Lucan, D.M.R. Western Division,1
2020,66301,Lucan, D.M.R. Western Division,18
2020,66301,Lucan, D.M.R. Western Division,103
2020,66301,Lucan, D.M.R. Western Division,492
2020,66301,Lucan, D.M.R. Western Division,87
2020,66301,Lucan, D.M.R. Western Division,223
2020,66301,Lucan, D.M.R. Western Division,25
2020,66301,Lucan, D.M.R. Western Division,150
2020,66301,Lucan, D.M.R. Western Division,152
2020,66301,Lucan, D.M.R. Western Division,30
2020,63103,Lusk, D.M.R. Northern Division,73
2020,63103,Lusk, D.M.R. Northern Division,22
2020,63103,Lusk, D.M.R. Northern Division,0
2020,63103,Lusk, D.M.R. Northern Division,10
2020,63103,Lusk, D.M.R. Northern Division,20
2020,63103,Lusk, D.M.R. Northern Division,297
2020,63103,Lusk, D.M.R. Northern Division,16
2020,63103,Lusk, D.M.R. Northern Division,42
2020,63103,Lusk, D.M.R. Northern Division,6
2020,63103,Lusk, D.M.R. Northern Division,69
2020,63103,Lusk, D.M.R. Northern Division,31
2020,63103,Lusk, D.M.R. Northern Division,18
2020,63302,Malahide, D.M.R. Northern Division,67
2020,63302,Malahide, D.M.R. Northern Division,13
2020,63302,Malahide, D.M.R. Northern Division,0
2020,63302,Malahide, D.M.R. Northern Division,27
2020,63302,Malahide, D.M.R. Northern Division,93
2020,63302,Malahide, D.M.R. Northern Division,357
2020,63302,Malahide, D.M.R. Northern Division,37
2020,63302,Malahide, D.M.R. Northern Division,51
2020,63302,Malahide, D.M.R. Northern Division,4
2020,63302,Malahide, D.M.R. Northern Division,103
2020,63302,Malahide, D.M.R. Northern Division,57
2020,63302,Malahide, D.M.R. Northern Division,15
2020,62203,Mountjoy, D.M.R. North Central Division,252
2020,62203,Mountjoy, D.M.R. North Central Division,68
2020,62203,Mountjoy, D.M.R. North Central Division,0
2020,62203,Mountjoy, D.M.R. North Central Division,32
2020,62203,Mountjoy, D.M.R. North Central Division,138
2020,62203,Mountjoy, D.M.R. North Central Division,761
2020,62203,Mountjoy, D.M.R. North Central Division,99
2020,62203,Mountjoy, D.M.R. North Central Division,160
2020,62203,Mountjoy, D.M.R. North Central Division,29
2020,62203,Mountjoy, D.M.R. North Central Division,259
2020,62203,Mountjoy, D.M.R. North Central Division,275
2020,62203,Mountjoy, D.M.R. North Central Division,94
2020,61202,PearseStreet, D.M.R. South Central Division,375
2020,61202,PearseStreet, D.M.R. South Central Division,61
2020,61202,PearseStreet, D.M.R. South Central Division,3
2020,61202,PearseStreet, D.M.R. South Central Division,129
2020,61202,PearseStreet, D.M.R. South Central Division,389
2020,61202,PearseStreet, D.M.R. South Central Division,2616
2020,61202,PearseStreet, D.M.R. South Central Division,268
2020,61202,PearseStreet, D.M.R. South Central Division,612
2020,61202,PearseStreet, D.M.R. South Central Division,190
2020,61202,PearseStreet, D.M.R. South Central Division,381
2020,61202,PearseStreet, D.M.R. South Central Division,1936
2020,61202,PearseStreet, D.M.R. South Central Division,74
2020,63403,Raheny, D.M.R. Northern Division,112
2020,63403,Raheny, D.M.R. Northern Division,15
2020,63403,Raheny, D.M.R. Northern Division,2
