CODE,ADDRESS,featuredLevel,publishDate,price,numBedrooms,numBathrooms,propertyType,propertySize,category,AMV_price,sellerId,seller_name,seller_branch,sellerType,m_totalImages,m_hasVideo,m_hasVirtualTour,m_hasBrochure,ber_rating,longitude,latitude,LONGITUDE,LATITUDE
3689057,"Clonlee, 29 Páirc na Dún, Mounthawk, Tralee, Co. Kerry, V92 E7CF, Ireland",standard,2022-01-25,300000,3,1,Bungalow,122.0,Buy,0,1458.0,Aughrim Office,O'Neill & Flanagan,BRANDED_AGENT,14.0,False,False,False,SI_666,-6.248058,52.934689,-9.722394,52.27866969999999
3689052,"23 Applewood Ave E, Holybanks, Swords, Co. Dublin, K67 H362, Ireland",standard,2022-01-30,275000,2,1,Duplex,72.0,Buy,0,11062.0,Auctioneera Dublin Office*,Auctioneera.ie,UNBRANDED_AGENT,21.0,False,False,False,C2,-6.27907,53.348851,-6.230607099999999,53.4696138
3689051,"6 Foxhill Lawn, Donaghmede, Dublin 13, D13 E2N6, Ireland",standard,2022-01-30,380000,3,1,Semi-D,112.0,Buy,0,6654.0,Kevin,DNG Boyce Gallagher,UNBRANDED_AGENT,22.0,True,False,False,C2,-7.757092,54.971284,-6.175012,53.3951406
3689048,"20j, 15 Fernleigh Dr, Carpenterstown, Dublin, D15 X2P0, Ireland",standard,2022-01-25,275000,2,2,Apartment,74.0,Buy,0,924.0,Karen Germaine,Sherry Fitzgerald Brady O'Flaherty,BRANDED_AGENT,8.0,False,False,False,D2,-6.589063,53.383321,-6.4033403,53.37367520000001
3689047,"19 Beverton Rise, Ballisk Common, Donabate, Co. Dublin, K36 TX09, Ireland",standard,2022-01-25,320000,2,2,Terrace,82.0,Buy,0,12120.0,Deirdre O'Gara,Mullery O'Gara Estate Agents,BRANDED_AGENT,13.0,False,True,False,D1,-6.287248,53.309787,-6.1528772,53.49040549999999
3687726,"Glasganny Bungalow, Michael J. Sinnott Dr, Castlebridge, Co. Wexford, Ireland",standard,2022-01-29,185000,2,2,Semi-D,60.0,Buy,0,6837.0,Pat Conroy,Pat Conroy Auctioneers,UNBRANDED_AGENT,12.0,False,False,False,C1,-7.202337,53.158067,-6.450889,52.3891815
3689033,"14 Turnberry, Warrenhouse Rd, Burrow, Dublin 13, D13 F9K3, Ireland",standard,2022-01-25,525000,4,3,Semi-D,112.0,Buy,0,5210.0,Jim Payne,Jim Payne Property Consultants Ltd,UNBRANDED_AGENT,27.0,False,False,False,C1,-6.453968,53.362275,-6.1265807,53.3941931
3688989,"132 Woodview Heights, Doddsborough, Lucan, Co. Dublin, K78 N8H3, Ireland",standard,2022-01-25,335000,3,2,Semi-D,98.0,Buy,0,7410.0,Mike Kennedy,Dingle Properties,UNBRANDED_AGENT,30.0,False,False,False,B2,-10.26723,52.140538,-6.4649931,53.3513694
3688941,"Woodfield Hall, Station Rd, Shean Upper, Blarney, Co. Cork, Ireland",standard,2022-01-25,249950,3,2,Duplex,105.0,Buy,0,131.0,Stephen Day,Lisney (Blackrock),BRANDED_AGENT,50.0,True,False,False,B1,-6.180577,53.267022,-8.562275,51.9394105
3688956,"80 Clonard Village, The Green, Clonard Little, Wexford, Y35 X5RW, Ireland",standard,2022-01-25,229000,3,3,Terrace,116.0,Buy,0,11766.0,Christina Simons,KM Property,BRANDED_AGENT,8.0,True,False,False,D2,-6.246736,53.359605,-6.495986800000001,52.3264735
3688937,"15 Innishfree Ct, Tonaphubble, Sligo, F91 C2PN, Ireland",standard,2022-01-28,195000,3,2,Semi-D,70.0,Buy,0,2759.0,Helen McCormack,Helen McCormack Estate Agents,UNBRANDED_AGENT,17.0,False,False,False,B3,-8.529018,52.668316,-8.4601937,54.2587154
3550030,"44 Leeson Park, Ranelagh, Dublin 6, Ireland",standard,2022-01-28,2450000,6,5,Terrace,294.0,Buy,0,11754.0,Cormac Sheehy,Remax Team Earley,BRANDED_AGENT,15.0,False,False,False,D1,-8.185125,53.616807,-6.2513939,53.32803089999999
3688920,"16 Hawthorn Dr, Rathnaneane, Newcastle West, Co. Limerick, V42 KD71, Ireland",standard,2022-01-28,185000,4,2,Semi-D,121.0,Buy,0,10947.0,Northside Sales 2,Ray Cooke Auctioneers Finglas,BRANDED_AGENT,20.0,False,False,False,E1,-6.2932837,53.3666968,-9.058168199999999,52.4443838
3688915,"3, Carhookeal, Mallow, Co. Cork, P51 HX3Y, Ireland",standard,2022-01-25,195000,3,1,Bungalow,78.0,Buy,0,10947.0,Northside Sales,Ray Cooke Auctioneers Finglas,BRANDED_AGENT,13.0,False,False,False,C2,-6.3166177,53.3761876,-8.6455488,52.1230852
3688908,"20 Ard Caóin, Errity Churchland, Manorcunningham, Co. Donegal, F92 W6N4, Ireland",standard,2022-01-28,125000,4,3,Semi-D,118.0,Buy,1,12324.0,Deirdre Bradley,Bradley Homes,UNBRANDED_AGENT,17.0,False,False,False,C3,-8.568059,53.823151,-7.619027299999999,54.95549
3688720,"Croaghnamaddy, Cleendra, Co. Donegal, Ireland",standard,2022-01-29,80000,1,1,Site,73.0,Buy,0,123.0,Kevin O'Donoghue,Park Auctioneers,UNBRANDED_AGENT,14.0,True,False,False,G,-6.24585,53.304473,-8.41032,54.92241
3688906,"16 Amberley Lawn, Grange, Cork, T12 V5NK, Ireland",standard,2022-01-28,375000,4,3,Detached,152.0,Buy,0,11754.0,Cormac Sheehy,Remax Team Earley,BRANDED_AGENT,3.0,False,False,False,D1,-8.185125,53.616807,-8.45406,51.8706569
3688899,"15 Carpenterstown Road, Carpenterstown, Castleknock, Co. Dublin, Ireland",standard,2022-01-25,310000,3,2,Apartment,124.0,Buy,0,10661.0,Eoin O'Toole,Lisney (Howth Road),BRANDED_AGENT,18.0,False,False,False,E2,-6.2022145,53.3621541,-6.3909926,53.3760977
3688896,"Dun Ceilin, Renmore Rd, Galway, Ireland",standard,2022-01-28,450000,3,1,Bungalow,155.0,Buy,0,1985.0,Declan Woulfe,DNG Declan Woulfe,UNBRANDED_AGENT,37.0,True,True,False,D1,-9.403948,52.466339,-9.0257781,53.2754358
3688761,"The Belfry, Ballysheedy West, Co. Limerick, Ireland",standard,2022-01-30,750000,4,3,Detached,198.0,Buy,0,3534.0,Office,M M Ward Estate Agents,UNBRANDED_AGENT,10.0,True,False,False,B3,-6.67018,53.250111,-8.630429,52.6263187
3688722,"Kincaslough, Kincasslagh, Co. Donegal, Ireland",standard,2022-01-29,65000,1,1,Site,145.0,Buy,0,1333.0,Mark Mulholland,Property Partners Mulholland,UNBRANDED_AGENT,25.0,False,False,False,E2,-8.491508,54.26946,-8.393839999999999,55.02668
3688723,"Dunglow, Dungloe, Co. Donegal, Ireland",standard,2022-01-29,349000,1,1,Site,271.0,Buy,0,1470.0,Ed Reilly,Sherry FitzGerald Reilly,BRANDED_AGENT,57.0,True,False,False,D1,-6.670341,53.653981,-8.357362799999999,54.95028869999999
3688721,"Dunglow, Dungloe, Co. Donegal, Ireland",standard,2022-01-29,49950,1,1,Site,,Buy,0,6013.0,John Coyne Estates,John Coyne Estates,BRANDED_AGENT,24.0,False,False,False,C2,-7.5236569,53.5305747,-8.357362799999999,54.95028869999999
3688707,"14 Hillsbrook Dr, Perrystown, Dublin, D12 TD82, Ireland",standard,2022-01-30,465000,3,2,Semi-D,94.0,Buy,0,6013.0,John Coyne Estates,John Coyne Estates,BRANDED_AGENT,24.0,False,False,False,C2,-7.523661,53.530574,-6.315060099999999,53.31231529999999
3688705,"46 Woodstown Heath, Ballycullen, Dublin 16, D16 X763, Ireland",standard,2022-01-28,595000,3,3,Semi-D,134.0,Buy,0,8806.0,Daniel Larkin,BidX1,BRANDED_AGENT,24.0,False,False,False,C2,-7.042149,52.947152,-6.329452799999999,53.2735145
3688704,"17 Primrose Gardens, Creggaunnahilla, Ennis, Co. Clare, V95 A7X0, Ireland",standard,2022-01-30,229000,4,3,Bungalow,169.0,Buy,0,8806.0,Isabelle Crean,BidX1,BRANDED_AGENT,19.0,False,False,False,C2,-6.28229,52.515023,-8.971475600000002,52.8117785
3688701,"Aghacashel, Correagh, Co. Cavan, Ireland",standard,2022-01-30,285000,4,3,Detached,160.0,Buy,0,11159.0,Padraig McNeill,McNeill Auctioneers,UNBRANDED_AGENT,14.0,False,False,False,C2,-8.492483,53.768569,-7.1552067,53.8530836
3688697,"61 Coill Clocha, Oranhill, Oranmore, Co. Galway, H91 DCP7, Ireland",standard,2022-01-30,310000,3,2,Terrace,88.0,Buy,0,1527.0,Mary Lawson,REA Brady,BRANDED_AGENT,20.0,False,True,False,XXX,-8.115066,53.937795,-8.9280144,53.2631199
3688695,"91 Patrick St, Dún Laoghaire, Dublin, A96 FC66, Ireland",standard,2022-01-28,695000,2,2,Detached,134.0,Buy,0,10104.0,Conor O'Regan,DNG Tallaght,BRANDED_AGENT,36.0,False,False,False,XXX,-6.410513,53.283568,-6.1373742,53.29123149999999
3688692,"57 Patrick Doyle Rd, Windy Arbour, Dublin 14, D14 V042, Ireland",standard,2022-01-25,525000,2,2,Terrace,77.0,Buy,0,9918.0,Brian McGee,DNG Phibsboro,BRANDED_AGENT,14.0,False,False,False,E2,-6.247298,53.388655,-6.2487347,53.3069529
3688674,"4, 15 Glenville Green, Clonsilla, Blanchardstown, Dublin 15, D15 K2DY, Ireland",standard,2022-01-29,215000,2,2,Apartment,63.0,Buy,0,2738.0,John Doherty,Sherry FitzGerald McCreery,BRANDED_AGENT,69.0,True,False,False,B2,-7.228299,52.53527,-6.3852622,53.3828553
